"Company Name","Primary Contact","Phone Number","Customer Address"
"Auto-Moto Classics Inc.","Leslie Taylor",6175558428,"16780 Pompton St., Brickhaven, MA 58339"
"UK Collectables, Ltd.","Elizabeth Devon","(171) 555-2282",NULL
"Canadian Gift Exchange Network","Yoshi  Tamuri","(604) 555-3392","1900 Oak St., Vancouver, BC V3F 2K1"
"Online Mini Collectables","Miguel Barajas",6175557555,"7635 Spinnaker Dr., Brickhaven, MA 58339"
Toys4GrownUps.com,"Julie Young",6265557265,"78934 Hillside Dr., Pasadena, CA 90003"
"Asian Shopping Network, Co","Brydey Walker","+612 9411 1555",NULL
"Mini Caravy","Frédérique  Citeaux",88.60.1555,NULL
"King Kong Collectables, Co.","Mike Gao","+852 2251 1555",NULL
"Enaco Distributors","Eduardo  Saavedra","(93) 203 4555",NULL
"Boards & Toys Co.","Mary Young",3105552373,"4097 Douglas Av., Glendale, CA 92561"
"Natürlich Autos","Horst  Kloss",0372-555188,NULL
"Heintze Collectables","Palle Ibsen","86 21 3555",NULL
"Québec Home Shopping Network","Jean  Fresnière","(514) 555-8054","43 rue St. Laurent, Montréal, Québec H1J 1C3"
"ANG Resellers","Alejandra  Camino","(91) 745 6555",NULL
"Collectable Mini Designs Co.","Valarie Thompson",7605558146,"361 Furth Circle, San Diego, CA 91217"
giftsbymail.co.uk,"Helen  Bennett","(198) 555-8888","Garden House, Cowes, Isle of Wight PO31 7PJ"
"Alpha Cognac","Annette  Roulet",61.77.6555,NULL
"Messner Shopping Network","Renate  Messner",069-0555984,NULL
"Amica Models & Co.","Paolo  Accorti",011-4988555,NULL
"Lyon Souveniers","Daniel Da Silva","+33 1 46 62 7555",NULL
"Auto Associés & Cie.","Daniel  Tonini",30.59.8555,NULL
"Toms Spezialitäten, Ltd","Henriette  Pfalzheim",0221-5554327,NULL
"Royal Canadian Collectables, Ltd.","Elizabeth  Lincoln","(604) 555-4555","23 Tsawassen Blvd., Tsawassen, BC T2F 8M4"
"Franken Gifts, Co","Peter  Franken",089-0877555,NULL
"Anna's Decorations, Ltd","Anna O'Hara","02 9936 8555","201 Miller Street, North Sydney, NSW 2060"
"Rovelli Gifts","Giovanni  Rovelli",035-640555,NULL
"Souveniers And Things Co.","Adrian Huxley","+61 2 9495 8555","Monitor Money Building, Chatswood, NSW 2067"
"Marta's Replicas Co.","Marta Hernandez",6175558555,"39323 Spinnaker Dr., Cambridge, MA 51247"
"BG&E Collectables","Ed Harrison","+41 26 425 50 01",NULL
"Vida Sport, Ltd","Mihael Holz",0897-034555,NULL
"Norway Gifts By Mail, Co.","Jan Klaeboe","+47 2212 1555",NULL
"Schuyler Imports","Bradley Schuyler","+31 20 491 9555",NULL
"Der Hund Imports","Mel Andersen",030-0074555,NULL
"Oulu Toy Supplies, Inc.","Pirkko Koskitalo",981-443655,NULL
"Petit Auto","Catherine  Dewey","(02) 5554 67",NULL
"Mini Classics","Steve Frick",9145554562,"3758 North Pendale Street, White Plains, NY 24067"
"Mini Creations Ltd.","Wing Huang",5085559555,"4575 Hillside Dr., New Bedford, MA 50553"
"Corporate Gift Ideas Co.","Julie Brown",6505551386,"7734 Strong St., San Francisco, CA 94217"
"Down Under Souveniers, Inc","Mike Graham","+64 9 312 5555",NULL
"Stylish Desk Decors, Co.","Ann  Brown","(171) 555-0297",NULL
"Tekni Collectables Inc.","William Brown",2015559350,"7476 Moss Rd., Newark, NJ 94019"
"Australian Gift Network, Co","Ben Calaghan",61-7-3844-6555,"31 Duncan St. West End, South Brisbane, Queensland 4101"
"Suominen Souveniers","Kalle Suominen","+358 9 8045 555",NULL
"Cramer Spezialitäten, Ltd","Philip  Cramer",0555-09555,NULL
"Classic Gift Ideas, Inc","Francisca Cervantes",2155554695,"782 First Street, Philadelphia, PA 71270"
"CAF Imports","Jesus Fernandez","+34 913 728 555",NULL
"Men 'R' US Retailers, Ltd.","Brian Chandler",2155554369,"6047 Douglas Av., Los Angeles, CA 91003"
"Asian Treasures, Inc.","Patricia  McKenna","2967 555",NULL
"Marseille Mini Autos","Laurence  Lebihan",91.24.4555,NULL
"Reims Collectables","Paul  Henriot",26.47.1555,NULL
"SAR Distributors, Co","Armand Kuger","+27 21 550 3555","1250 Pretorius Street, Hatfield, Pretoria 0028"
GiftsForHim.com,"Wales MacKinlay",64-9-3763555,NULL
"Kommission Auto","Karin Josephs",0251-555259,NULL
Gifts4AllAges.com,"Juri Yoshido",6175559555,"8616 Spinnaker Dr., Boston, MA 51003"
"Online Diecast Creations Co.","Dorothy Young",6035558647,"2304 Long Airport Avenue, Nashua, NH 62005"
"Lisboa Souveniers, Inc","Lino  Rodriguez","(1) 354-2555",NULL
"Precious Collectables","Braun Urs",0452-076555,NULL
"Collectables For Less Inc.","Allen Nelson",6175558555,"7825 Douglas Av., Brickhaven, MA 58339"
"Royale Belge","Pascale  Cartrain","(071) 23 67 2555",NULL
"Salzburg Collectables","Georg  Pipps",6562-9555,NULL
"Cruz & Sons Co.","Arnold Cruz","+63 2 555 3587",NULL
"L'ordine Souveniers","Maurizio  Moroni",0522-556555,NULL
"Tokyo Collectables, Ltd","Akiko Shimamura","+81 3 3584 0555","2-2-8 Roppongi, Minato-ku, Tokyo 106-0032"
"Auto Canal+ Petit","Dominique Perrier","(1) 47.55.6555",NULL
"Stuttgart Collectable Exchange","Rita  Müller",0711-555361,NULL
"Extreme Desk Decorations, Ltd","Sarah McRoy","04 499 9555",NULL
"Bavarian Collectables Imports, Co.","Michael Donnermeyer"," +49 89 61 08 9555",NULL
"Classic Legends Inc.","Maria Hernandez",2125558493,"5905 Pompton St., NYC, NY 10022"
"Feuer Online Stores, Inc","Alexander  Feuer",0342-555176,NULL
"Gift Ideas Corp.","Dan Lewis",2035554407,"2440 Pompton St., Glendale, CT 97561"
"Scandinavian Gift Ideas","Martha Larsson","0695-34 6555",NULL
"The Sharp Gifts Warehouse","Sue Frick",4085553659,"3086 Ingle Ln., San Jose, CA 94217"
"Mini Auto Werke","Roland  Mendel",7675-3555,NULL
"Super Scale Inc.","Leslie Murphy",2035559545,"567 North Pendale Street, New Haven, CT 97823"
"Microscale Inc.","Yu Choi",2125551957,"5290 North Pendale Street, NYC, NY 10022"
"Corrida Auto Replicas, Ltd","Martín  Sommer","(91) 555 22 82",NULL
"Warburg Exchange","Sven  Ottlieb",0241-039123,NULL
FunGiftIdeas.com,"Violeta Benitez",5085552555,"1785 First Street, New Bedford, MA 50553"
"Anton Designs, Ltd.","Carmen Anton","+34 913 728555",NULL
"Australian Collectables, Ltd","Sean Clenahan",61-9-3844-6555,"7 Allen Street, Glen Waverly, Victoria 3150"
"Frau da Collezione","Franco Ricotti","+39 022515555",NULL
"West Coast Collectables Co.","Steve Thompson",3105553722,"3675 Furth Circle, Burbank, CA 94019"
"Mit Vergnügen & Co.","Hanna  Moos",0621-08555,NULL
"Kremlin Collectables, Co.","Alexander  Semenov","+7 812 293 0521",NULL
"Raanan Stores, Inc","Raanan Altagar,G M","+ 972 9 959 8555",NULL
"Iberia Gift Imports, Corp.","José Pedro  Roel","(95) 555 82 82",NULL
"Motor Mint Distributors Inc.","Rosa Salazar",2155559857,"11328 Douglas Av., Philadelphia, PA 71270"
"Signal Collectibles Ltd.","Sue Taylor",4155554312,"2793 Furth Circle, Brisbane, CA 94217"
"Double Decker Gift Stores, Ltd","Thomas  Smith","(171) 555-7555",NULL
"Diecast Collectables","Valarie Franco",6175552555,"6251 Ingle Ln., Boston, MA 51003"
"Kelly's Gift Shop","Tony Snowden","+64 9 5555500",NULL
